time(ns) r(mm) y(mm) mom(GeV)
5.05578 -6.57376 -6.37761 3091.09
5.05961 6.29025 -2.366 3097.01
5.06882 -8.79961 -12.9479 3093.79
5.05851 16.8963 -13.7508 3097.61
5.12046 11.16 4.96287 3098.61
5.0776 4.35975 19.0837 3094.43
5.05474 22.7169 -8.33401 3096.16
5.06072 1.78205 -2.16903 3092.73
5.01724 27.0505 0.0986919 3098.45
5.05071 8.33713 -3.73217 3096.13
5.11172 -4.69325 -7.58189 3098.93
5.08925 -8.60917 -1.35553 3096.63
5.04607 -13.9943 -11.1764 3092.58
5.08154 -11.5759 -0.0517793 3091.66
5.06318 -19.2537 -3.25268 3091.93
5.08478 29.9345 -21.7814 3095.78
5.09953 -9.1486 -6.95153 3098.12
5.05784 -5.84085 -15.0437 3093.67
5.05094 28.5544 10.0235 3098.61
5.03729 10.1517 -1.07934 3097.21
5.01354 -0.0851063 -5.39576 3093.05
5.08501 11.05 12.2082 3099.4
5.10367 -2.55317 -20.5099 3097.12
5.10408 11.8921 -18.9643 3100.43
5.09252 -20.6898 -22.8198 3094.6
5.03509 12.793 4.49794 3096.86
5.00669 -4.4659 -17.2013 3098.17
5.08461 36.7268 4.79168 3102.62
5.03653 -12.3503 -11.638 3091.73
5.13578 7.1048 18.7987 3091.89
5.09348 -23.4898 -10.003 3094.66
5.09025 -17.3287 19.949 3091.16
5.12196 -13.4168 0.865416 3096.14
5.07575 -16.6005 -2.43885 3093.12
5.04164 2.77702 -16.5237 3096.39
5.09208 15.4237 -8.90347 3098.42
5.05477 34.2187 -21.3088 3102.1
5.05144 -15.3945 -3.41238 3090.39
5.06944 10.9543 -1.72293 3098.83
5.06254 -0.193012 -2.90964 3096.23
5.06752 2.44971 3.94797 3095.36
5.05701 14.989 -2.37541 3097.63
5.03439 -13.6167 -6.04719 3091.97
5.07879 18.3869 0.382234 3097.69
5.0871 24.0009 3.43944 3093.65
5.08327 -13.831 -4.61341 3094.46
5.07057 -12.7347 1.47987 3093.15
5.04045 -6.4366 10.5158 3094.64
5.05815 -2.7434 -7.72283 3093.63
5.10047 -37.6157 -11.7759 3090.48
5.01764 -11.7942 -11.6971 3093.17
5.03361 22.3378 -16.6329 3093.87
5.14354 9.42602 23.8666 3101.21
5.05571 13.547 1.3072 3093.04
5.10261 -13.8629 1.59434 3095.71
5.0612 -5.71464 -6.57171 3093.28
5.11689 5.51121 -13.532 3100.97
5.06091 4.26373 -2.35344 3091.41
5.06719 -8.43014 -19.8902 3094.71
5.07391 -1.64294 -12.7452 3095.97
5.06545 -10.9285 -11.799 3093.8
5.13435 -8.12937 -6.48304 3094.74
5.11297 1.82257 -27.7636 3095.42
5.08375 -28.5211 -13.5569 3093.53
5.13522 -8.19309 15.0425 3093.28
5.06602 11.1754 -23.0701 3093.9
5.12547 -0.692033 13.4621 3100.16
5.0547 6.76726 -10.356 3097.75
5.03979 -2.92844 1.6164 3092.64
5.08638 -3.74091 -19.1026 3096.19
5.10718 16.2588 -3.39316 3096.45
5.06976 15.3082 -13.2966 3097.53
5.08097 4.92625 -7.42863 3097.61
5.02862 -0.450534 -13.4954 3093.21
5.06866 23.7659 7.10485 3098.27
5.11314 -1.89681 -7.79185 3097.34
5.07471 12.7447 -24.7236 3099.58
5.06154 25.0748 -17.6539 3101.03
5.05835 13.7126 -7.83598 3100.14
5.08667 0.189397 -25.9984 3094.21
5.08916 7.81737 -12.1322 3098.83
5.08771 15.475 -4.44937 3098.13
5.06829 -18.6498 -13.8319 3090.56
5.0794 24.1781 -4.78118 3098.12
5.0488 -6.04495 -11.6151 3094.61
5.07315 -14.783 6.09955 3093.97
5.07969 -13.3906 -6.6892 3093.87
5.06737 -6.13163 -4.42265 3093.68
5.0238 -5.42761 10.5032 3094.72
5.12343 -3.27034 -7.28267 3099.93
5.04653 17.3484 -7.72112 3097.25
5.05091 13.588 17.1633 3093.84
5.01115 -3.09754 -16.7994 3095.07
5.06073 -21.4139 0.393862 3089.26
5.06624 15.6845 -6.52294 3096.3
5.03594 -11.5626 -30.647 3092.38
5.09025 22.3473 0.347638 3098.01
5.13271 21.2513 -4.51834 3102.73
5.04355 17.592 10.4388 3095.74
5.05026 -0.0725144 -17.4761 3094.57
5.06214 14.8863 1.10009 3095.85
5.06695 6.72457 -6.28008 3098.72
5.09481 -37.6923 -3.00424 3091.54
5.0485 -18.4575 -5.5522 3092.07
5.13238 10.7697 -9.00408 3101.52
5.0544 3.72408 -1.80217 3091.33
5.07471 -3.07159 1.7453 3094.5
5.11446 17.7189 8.71374 3102.43
5.07217 -5.53561 -22.0002 3092.41
5.09776 -12.7391 -4.28355 3093.76
5.05539 -20.7482 -13.9372 3090.54
5.04516 20.3724 19.2814 3096.17
5.07117 -16.0643 14.645 3091.93
5.0526 15.883 -9.1007 3098.97
5.05624 -6.43525 3.69882 3097.14
5.04119 16.4209 2.5184 3098.05
5.05995 -25.2496 10.4653 3088.12
5.03227 -18.9102 -2.41719 3088.67
5.11338 -5.95867 7.18512 3098.66
5.09901 7.81893 26.992 3097.02
5.06245 10.8494 13.3505 3095.91
5.08167 14.4178 -14.3979 3097.64
5.11572 22.1777 -8.9651 3103.38
5.07855 -7.21808 3.59476 3094.96
5.06605 17.4714 -2.2237 3096.19
5.13789 -6.68461 -16.7911 3096.92
5.03585 -9.97089 -2.62202 3092.48
5.06548 2.35968 5.54187 3094.85
5.03337 27.3711 -1.13561 3098.55
5.04669 40.323 0.497617 3098.18
5.1077 -6.38034 -33.2832 3090.84
5.0623 4.79724 -8.63394 3097.42
5.06781 -19.4004 2.35418 3092.94
5.04489 10.4767 -5.91464 3097.9
5.06272 -26.7893 2.79984 3090.07
5.04156 34.2176 11.9609 3101.26
5.05747 -9.37603 -13.8515 3093.14
5.09131 -22.5526 -23.474 3093.08
5.1028 -1.88641 -19.1078 3098.51
5.08899 9.83821 -1.19335 3094.51
5.11546 1.49508 -17.2812 3099.51
5.07124 8.58891 -27.5402 3095.86
5.1195 6.66091 18.4964 3099.76
5.0682 13.3346 -11.9057 3098.85
5.10528 0.820534 -14.821 3099.5
5.0504 -6.43509 -18.1038 3092.67
5.06618 -8.88287 -4.46439 3092.41
5.0383 3.95061 -4.1886 3094.02
5.09689 10.791 -11.2669 3099.32
5.13252 -6.16592 -7.94223 3098.38
5.06868 -18.9673 -22.9774 3088.03
5.07575 -23.9676 -17.6312 3090.94
5.0929 28.9469 -17.1382 3101.13
5.07515 8.61171 -6.24178 3096.98
5.05622 -16.0518 -11.3349 3092.58
5.11701 -12.549 -24.5316 3095.93
5.11082 -22.5591 -5.5762 3095.5
5.03696 -10.8644 -5.66194 3094.18
5.06871 -16.0548 -5.47161 3092.77
5.11683 -12.5011 -4.39379 3095.59
5.07761 -8.73937 -12.1355 3095.25
5.06976 8.50675 14.2169 3095.25
5.09918 -21.0537 4.62562 3092.43
5.02338 -7.97913 1.00473 3092.6
5.10564 0.783042 -3.1048 3099.01
5.0709 20.9551 1.31506 3100.57
5.06525 -6.39581 -15.554 3093.35
5.05594 -25.5916 -2.95665 3090.38
5.0918 13.1652 -8.68628 3098.9
5.09023 22.6307 -8.39874 3097.94
